"family","description"
"PF12253","Chromatin assembly factor 1 subunit A"
"PF12254","DNA polymerase alpha subunit p180 N terminal"
"PF12255","Insecticide toxin TcdB middle/C-terminal region"
"PF12256","Insecticide toxin TcdB middle/N-terminal region"
"PF12257","Protein of unknown function (DUF3608)"
"PF12259","Protein of unknown function (DUF3609)"
"PF12261","Thermostable hemolysin"
"PF12263","Protein of unknown function (DUF3611)"
"PF12265","Histone-binding protein RBBP4 or subunit C of CAF1 complex"
"PF12269","CpG binding protein zinc finger C terminal domain"
"PF12270","Cytochrome c oxidase subunit IV"
"PF12271","Chitin synthase III catalytic subunit"
"PF12273","Chitin synthesis regulation, resistance to Congo red"
"PF12275","Protein of unknown function (DUF3616)"
"PF12279","Protein of unknown function (DUF3619)"
"PF12281","Protein of unknown function (DUF3620)"
"PF12284","Hox protein A13 N terminal"
"PF12288","Carboxysome shell peptide mid-region"
"PF12294","Protein of unknown function (DUF3626)"
"PF12295","Symplekin tight junction protein C terminal"
"PF12296","Hydrophobic surface binding protein A"
"PF12298","Eukaryotic mitochondrial regulator protein"
"PF12301","CD99 antigen like protein 2"
"PF12304","Beta-casein like protein"
"PF12309","KIF-1 binding protein C terminal"
"PF12311","Protein of unknown function (DUF3632)"
"PF12314","Inner membrane complex protein"
"PF12315","Protein of unknown function (DUF3633)"
"PF12317","Intraflagellar transport complex B protein 46 C terminal"
"PF12323","Helix-turn-helix domain"
"PF12324","Helix-turn-helix domain of alkylmercury lyase"
"PF12325","TATA element modulatory factor 1 TATA binding"
"PF12326","N-glycosylation protein"
"PF12327","FtsZ family, C-terminal domain"
"PF12328","Rpp20 subunit of nuclear RNase MRP and P"
"PF12329","TATA element modulatory factor 1 DNA binding"
"PF12330","Domain of unknown function (DUF3635)"
"PF12331","Protein of unknown function (DUF3636)"
"PF12333","Rix1 complex component involved in 60S ribosome maturation"
"PF12340","Protein of unknown function (DUF3638)"
"PF12341","Protein of unknown function (DUF3639)"
"PF12344","Ultra-violet resistance protein B"
"PF12345","Protein of unknown function (DUF3641)"
"PF12348","CLASP N terminal"
"PF12349","Sterol-sensing domain of SREBP cleavage-activation"
"PF12350","CTD kinase subunit gamma CTK3 C-terminus"
"PF12351","Ca2+ regulator and membrane fusion protein Fig1"
"PF12352","Snare region anchored in the vesicle membrane C-terminus"
"PF12353","Eukaryotic translation initiation factor 3 subunit G"
"PF12359","Protein of unknown function (DUF3645)"
"PF12362","DNA polymerase III gamma and tau subunits C terminal"
"PF12371","Protein of unknown function (DUF3651)"
"PF12373","Major surface glycoprotein 2 C terminal"
"PF12380","Gill-associated viral 3C-like peptidase"
"PF12384","Ty3 transposon peptidase"
"PF12388","Dual-action HEIGH metallo-peptidase"
"PF12391","Protocatechuate 3,4-dioxygenase beta subunit N terminal"
"PF12395","Protein of unknown function"
"PF12396","Protein of unknown function (DUF3659)"
"PF12397","U3 small nucleolar RNA-associated protein 10"
"PF12400","Vaculolar membrane protein"
"PF12409","P5-type ATPase cation transporter"
"PF12411","Choline sulfatase enzyme C terminal"
"PF12416","Cep120 protein"
"PF12417","Zinc finger protein"
"PF12421","Fibronectin type III protein"
"PF12422","Condensin II non structural maintenance of chromosomes subunit"
"PF12423","Kinesin protein 1B"
"PF12430","Abscisic acid G-protein coupled receptor"
"PF12436","ICP0-binding domain of Ubiquitin-specific protease 7"
"PF12437","Glutamine synthetase type III N terminal"
"PF12448","Kinesin associated protein"
"PF12449","Protein of unknown function (DUF3684)"
"PF12451","Vacuolar protein sorting protein 11 C terminal"
"PF12454","GPI-anchored cell wall organization protein"
"PF12455","Dynein associated protein"
"PF12456","Inositol phosphatase"
"PF12457","Tuftelin interacting protein N terminal"
"PF12460","RNAPII transcription regulator C-terminal"
"PF12464","Maltose acetyltransferase"
"PF12465","Proteasome beta subunits C terminal"
"PF12468","Type III secretion system leucine rich repeat protein"
"PF12469","CRISPR-associated protein"
"PF12471","GTP cyclohydrolase N terminal"
"PF12473","Kinesin protein"
"PF12477","Sex factor F TraW protein N terminal"
"PF12478","Ubiquitin-associated protein 2"
"PF12479","Protein of unknown function (DUF3698)"
"PF12483","E3 Ubiquitin ligase"
"PF12490","Breast carcinoma amplified sequence 3"
"PF12505","Protein of unknown function (DUF3712)"
"PF12511","Protein of unknown function (DUF3716)"
"PF12513","Mitochondrial degradasome RNA helicase subunit C terminal"
"PF12516","Protein of unknown function (DUF3719)"
"PF12519","Protein of unknown function (DUF3722)"
"PF12520","Protein of unknown function (DUF3723)"
"PF12530","Protein of unknown function (DUF3730)"
"PF12532","Protein of unknown function (DUF3732)"
"PF12536","Patatin phospholipase"
"PF12537","Protein of unknown function (DUF3735)"
"PF12539","Chromosome segregation protein Csm1/Pcs1"
"PF12541","Protein of unknown function (DUF3737)"
"PF12542","Pre-mRNA splicing factor"
"PF12544","Lysine-2,3-aminomutase"
"PF12549","Tyrosine hydroxylase N terminal"
"PF12550","Transcriptional activator of glycolytic enzymes"
"PF12554","Mitotic-spindle organizing gamma-tubulin ring associated"
"PF12558","ATP-binding cassette cobalt transporter"
"PF12559","Serine endopeptidase inhibitors"
"PF12564","Type III restriction/modification enzyme methylation subunit"
"PF12566","Protein of unknown function (DUF3748)"
"PF12568","Acetyltransferase (GNAT) domain"
"PF12569","NMDA receptor-regulated protein 1"
"PF12572","Protein of unknown function (DUF3752)"
"PF12580","Tripeptidyl peptidase II"
"PF12584","Trafficking protein particle complex subunit 10, TRAPPC10"
"PF12585","Protein of unknown function (DUF3759)"
"PF12586","Protein of unknown function (DUF3760)"
"PF12587","Protein of unknown function (DUF3761)"
"PF12588","Phophatidylserine decarboxylase"
"PF12589","Methyltransferase involved in Williams-Beuren syndrome"
"PF12595","Rhomboid serine protease"
"PF12597","Protein of unknown function (DUF3767)"
"PF12598","T-box transcription factor"
"PF12605","Casein kinase 1 gamma C terminal"
"PF12612","Tubulin folding cofactor D C terminal"
"PF12614","Ribosome recycling factor"
"PF12615","F sex factor protein N terminal"
"PF12619","Mini-chromosome maintenance protein 2"
"PF12621","Phosphate metabolism protein"
"PF12622","mRNA biogenesis factor"
"PF12624","N-terminal region of Chorein, a TM vesicle-mediated sorter"
"PF12625","Arabinose-binding domain of AraC transcription regulator, N-term"
"PF12627","Probable RNA and SrmB- binding site of polymerase A"
"PF12631","Catalytic cysteine-containing C-terminus of GTPase, MnmE"
"PF12632","Mysoin-binding motif of peroxisomes"
"PF12634","Inheritance of peroxisomes protein 1"
"PF12636","Protein of unknown function (DUF3781)"
"PF12639","DNase/tRNase domain of colicin-like bacteriocin"
"PF12643","MazG-like family"
"PF12645","Helix-turn-helix domain"
"PF12656","DExH-box splicing factor binding site"
"PF12657","Transcription factor IIIC subunit delta N-term"
"PF12658","Telomere capping, CST complex subunit"
"PF12659","Telomere capping C-terminal wHTH"
"PF12660","Putative zinc-finger of transcription factor IIIC complex"
"PF12661","Human growth factor-like EGF"
"PF12662","Complement Clr-like EGF-like"
"PF12671","Putative amidase domain"
"PF12674","Putative zinc ribbon domain"
"PF12678","RING-H2 zinc finger"
"PF12680","SnoaL-like domain"
"PF12681","Glyoxalase-like domain"
"PF12682","Flavodoxin"
"PF12685","SpoIIIAH-like protein"
"PF12688","Tetratrico peptide repeat"
"PF12689","Acid Phosphatase"
"PF12692","S-adenosyl-L-methionine methyltransferase"
"PF12694","Putative molybdenum carrier"
"PF12695","Alpha/beta hydrolase family"
"PF12696","TraM recognition site of TraD and TraG"
"PF12697","Alpha/beta hydrolase family"
"PF12698","ABC-2 family transporter protein"
"PF12700","HlyD family secretion protein"
"PF12701","Scd6-like Sm domain"
"PF12704","MacB-like periplasmic core domain"
"PF12705","PD-(D/E)XK nuclease superfamily"
"PF12706","Beta-lactamase superfamily domain"
"PF12708","Pectate lyase superfamily protein"
"PF12709","Central kinetochore-associated"
"PF12710","haloacid dehalogenase-like hydrolase"
"PF12711","Kinesin motor"
"PF12716","Nuclear pore assembly and biogenesis"
"PF12717","non-SMC mitotic condensation complex subunit 1"
"PF12718","Tropomyosin like"
"PF12719","Nuclear condensing complex subunits, C-term domain"
"PF12720","Protein of unknown function (DUF3807)"
"PF12721","RIP homotypic interaction motif"
"PF12722","High-temperature-induced dauer-formation protein"
"PF12724","Flavodoxin domain"
"PF12726","SEN1 N terminal"
"PF12728","Helix-turn-helix domain"
"PF12730","ABC-2 family transporter protein"
"PF12731","Mating-type protein beta 1"
"PF12732","YtxH-like protein"
"PF12733","Cadherin-like beta sandwich domain"
"PF12734","Cysteine-rich TM module stress tolerance"
"PF12735","TRAPP trafficking subunit Trs65"
"PF12737","C-terminal domain of homeodomain 1"
"PF12738","twin BRCT domain"
"PF12739","ER-Golgi trafficking TRAPP I complex 85 kDa subunit"
"PF12740","Chlorophyllase enzyme"
"PF12741","Susd and RagB outer membrane lipoprotein"
"PF12742","Gryzun, putative Golgi trafficking"
"PF12744","Autophagy protein Atg19, Atg8-binding"
"PF12745","Anticodon binding domain of tRNAs"
"PF12751","Vacuolar segregation subunit 7"
"PF12752","SUZ domain"
"PF12753","Nuclear pore complex subunit Nro1"
"PF12754","Cell-cycle control medial ring component"
"PF12755","Vacuolar 14 Fab1-binding region"
"PF12756","C2H2 type zinc-finger (2 copies)"
"PF12757","Protein of unknown function (DUF3812)"
"PF12760","Transposase zinc-ribbon domain"
"PF12761","Actin cytoskeleton-regulatory complex protein END3"
"PF12762","ISXO2-like transposase domain"
"PF12763","Cytoskeletal-regulatory complex EF hand"
"PF12764","Glycine-rich region of argonaut"
"PF12765","HEAT repeat associated with sister chromatid cohesion"
"PF12766","Pyridoxamine 5'-phosphate oxidase"
"PF12767","Transcriptional regulator of RNA polII, SAGA, subunit"
"PF12768","Cortical protein marker for cell polarity"
"PF12769","Domain of unknown function (DUF3814)"
"PF12770","CHAT domain"
"PF12771","Starch-binding associating with outer membrane"
"PF12773","Double zinc ribbon"
"PF12774","Hydrolytic ATP binding site of dynein motor region D1"
"PF12775","P-loop containing dynein motor region D3"
"PF12776","Myb/SANT-like DNA-binding domain"
"PF12777","Microtubule-binding stalk of dynein motor"
"PF12779","YXWGXW repeat (2 copies)"
"PF12780","P-loop containing dynein motor region D4"
"PF12781","ATP-binding dynein motor region D5"
"PF12783","Guanine nucleotide exchange factor in Golgi transport N-terminal"
"PF12784","PD-(D/E)XK nuclease family transposase"
"PF12787","EcsC protein family"
"PF12790","Type VI secretion lipoprotein"
"PF12794","Mechanosensitive ion channel inner membrane domain 1"
"PF12795","Mechanosensitive ion channel porin domain"
"PF12796","Ankyrin repeats (3 copies)"
"PF12798","4Fe-4S binding domain"
"PF12799","Leucine Rich repeats (2 copies)"
"PF12802","MarR family"
"PF12804","MobA-like NTP transferase domain"
"PF12805","FUSC-like inner membrane protein yccS"
"PF12807","Translation initiation factor eIF3 subunit 135"
"PF12808","Micro-tubular organiser Mto1 C-term Mto2-binding region"
"PF12810","Glycine rich protein"
"PF12812","PDZ-like domain"
"PF12813","XPG domain containing"
"PF12814","Meiotic cell cortex C-terminal pleckstrin homology"
"PF12815","Spt5 C-terminal nonapeptide repeat binding Spt4"
"PF12816","Golgi CORVET complex core vacuolar protein 8"
"PF12821","Protein of unknown function (DUF3815)"
"PF12824","Mitochondrial ribosomal protein subunit L20"
"PF12825","Domain of unknown function in PX-proteins (DUF3818)"
"PF12826","Helix-hairpin-helix motif"
"PF12827","Peroxisomal biogenesis protein family"
"PF12828","PX-associated"
"PF12829","Transcriptional regulation of mitochondrial recombination"
"PF12830","Sister chromatid cohesion C-terminus"
"PF12831","FAD dependent oxidoreductase"
"PF12832","MFS_1 like family"
"PF12833","Helix-turn-helix domain"
"PF12836","Helix-hairpin-helix motif"
"PF12837","4Fe-4S binding domain"
"PF12838","4Fe-4S dicluster domain"
"PF12840","Helix-turn-helix domain"
"PF12842","Domain of unknown function (DUF3819)"
"PF12843","Protein of unknown function (DUF3820)"
"PF12844","Helix-turn-helix domain"
"PF12846","AAA-like domain"
"PF12847","Methyltransferase domain"
"PF12848","ABC transporter"
"PF12849","PBP superfamily domain"
"PF12850","Calcineurin-like phosphoesterase superfamily domain"
"PF12851","Oxygenase domain of the 2OGFeDO superfamily"
"PF12852","Cupin"
"PF12853","C-terminal of NADH-ubiquinone oxidoreductase 21 kDa subunit"
"PF12854","PPR repeat"
"PF12855","Life-span regulatory factor"
"PF12856","Anaphase-promoting complex subunit 9"
"PF12859","Anaphase-promoting complex subunit 1"
"PF12860","PAS fold"
"PF12861","Anaphase-promoting complex subunit 11 RING-H2 finger"
"PF12862","Anaphase-promoting complex subunit 5"
"PF12867","DinB superfamily"
"PF12868","Domain of unknwon function (DUF3824)"
"PF12869","tRNA_anti-like"
"PF12870","Lumazine-binding domain"
"PF12871","Pre-mRNA-splicing factor 38-associated hydrophilic C-term"
"PF12872","OST-HTH/LOTUS domain"
"PF12874","Zinc-finger of C2H2 type"
"PF12876","Sugar-binding cellulase-like"
"PF12877","Domain of unknown function (DUF3827)"
"PF12881","NUT protein N terminus"
"PF12891","Glycoside hydrolase family 44"
"PF12893","Putative lumazine-binding"
"PF12894","Anaphase-promoting complex subunit 4 WD40 domain"
"PF12895","Anaphase-promoting complex, cyclosome, subunit 3"
"PF12896","Anaphase-promoting complex, cyclosome, subunit 4"
"PF12897","Alanine-glyoxylate amino-transferase"
"PF12898","Stc1 domain"
"PF12900","Pyridoxamine 5'-phosphate oxidase"
"PF12901","SUZ-C motif"
"PF12902","Ferritin-like"
"PF12903","Protein of unknown function (DUF3830)"
"PF12904","Putative collagen-binding domain of a collagenase"
"PF12906","RING-variant domain"
"PF12907","Zinc-binding"
"PF12911","N-terminal TM domain of oligopeptide transport permease C"
"PF12919","TcdA/TcdB catalytic glycosyltransferase domain"
"PF12920","TcdA/TcdB pore forming domain"
"PF12921","Mitochondrial ATPase expression"
"PF12922","non-SMC mitotic condensation complex subunit 1, N-term"
"PF12923","Ribosomal RNA-processing protein 7 (RRP7)"
"PF12926","Mitotic-spindle organizing gamma-tubulin ring associated"
"PF12927","Domain of unknown function (DUF3835)"
"PF12928","tRNA-splicing endonuclease subunit sen54 N-term"
"PF12929","Stretch-activated Ca2+-permeable channel component"
"PF12931","Sec23-binding domain of Sec16"
"PF12932","Vesicle coat trafficking protein Sec16 mid-region"
"PF12935","Vesicle coat trafficking protein Sec16 N-terminus"
"PF12936","KRI1-like family C-terminal"
"PF12937","F-box-like"
"PF12938","M domain of GW182"
"PF12947","EGF domain"
"PF12949","HeH/LEM domain"
"PF12950","TaqI-like C-terminal specificity domain"
"PF12951","Autotransporter-associated beta strand repeat"
"PF12952","Domain of unknown function (DUF3841)"
"PF12955","Domain of unknown function (DUF3844)"
"PF12969","Domain of Unknown Function with PDB structure (DUF3857)"
"PF12971","Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain"
"PF12972","Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain"
"PF12973","ChrR Cupin-like domain"
"PF12974","ABC transporter, phosphonate, periplasmic substrate-binding protein"
"PF12998","Inhibitor of growth proteins N-terminal histone-binding"
"PF12999","Glucosidase II beta subunit-like"
"PF13000","Acetyl-coenzyme A transporter 1"
"PF13001","Proteasome stabiliser"
"PF13002","Arrestin_N terminal like"
"PF13005","zinc-finger binding domain of transposase IS66"
"PF13012","Maintenance of mitochondrial structure and function"
